Name,Age,AverageDrive,DrivingAccuracy,GreensonRegulation,AverageNumofPutts,SavePercent,MoneyRank,NumEvents,TotalWinnings,AverageWinnings
Mark O'Meara,47,272.9,67,62.5,1.768,53.7,135,17,543866,31992
Mark Wilson,30,282.1,72,68.9,1.788,48.1,167,19,300317,15806
Mathias Gronberg,34,292.1,58.5,63.2,1.811,43.9,132,32,565013,17657
Matt Gogel,33,285.6,68.5,63.2,1.749,53.3,98,25,817117,32685
Matt Kuchar,26,287.3,64.4,65.3,1.795,46.6,139,28,509258,18188
Michael Allen,45,291.1,56.5,64.2,1.763,48.9,88,28,882872,31531
Mike Heinen,37,305.2,62.7,62.8,1.79,31.8,195,17,166185,9776
Mike Weir,34,282.1,64.1,65.1,1.749,53.7,14,22,2761537,125524
Neal Lancaster,42,291.6,57.6,65.2,1.781,52.4,113,33,701240,21250
Nick Price,47,272.8,68.3,59.1,1.746,58.7,103,15,796086,53072
Niclas Fasth,32,289.1,61.6,61.5,1.806,40.7,172,22,265424,12065
Notah Begay III,32,285.8,69.5,66.2,1.771,44.2,129,23,583537,25371
Olin Browne,45,281.9,73.5,68.9,1.775,47.8,127,30,597034,19901
Omar Uresti,36,272.2,73.1,62.6,1.813,56.8,163,28,345798,12350
Pat Bates,35,275.5,69.9,66.3,1.803,45,168,32,299385,9356
Pat Perez,28,291.4,65,66.2,1.78,51.1,111,32,723724,22616
Patrick Sheehan,35,290.3,63,64.9,1.759,43,63,33,1234345,37404
Paul Azinger,44,285.1,57.6,63,1.745,51.7,126,23,601438,26149
Peter Lonard,37,291.4,61.5,62.9,1.819,47.1,118,23,675189,29356
Phil Mickelson,34,295.4,62.9,69.5,1.759,56.4,3,22,5784823,262947
Retief Goosen,35,294.2,62.5,68.7,1.743,54.6,6,16,3885573,242848
Rich Barcelo,29,293.1,59,64.4,1.797,35.3,186,26,223597,8600
Rich Beem,34,296.7,61.7,63.7,1.814,56.4,183,28,230499,8232
Richard S. Johnso,28,283.4,69.3,64.5,1.758,50.8,148,32,461184,14412
Robert Allenby,33,294.9,65,70.3,1.798,46.5,44,26,1513537,58213
Robert Damron,32,277.2,70,63.8,1.792,49.4,84,28,933389,33335
Robert Gamez,36,288.1,65.2,65.7,1.767,48.3,110,31,725369,23399
Rocco Mediate,41,283.4,69.9,65.5,1.8,45,176,19,257692,13563
Rod Pampling,35,292.1,59.8,66.1,1.763,58.9,31,26,1737725,66836
Roger Tambellini,29,297.8,59.2,63.2,1.796,49.3,181,28,234164,8363
Roland Thatcher,27,293.1,64.8,68,1.811,42.3,177,23,247987,10782
Rory Sabbatini,28,292.2,59.2,64.9,1.792,48.9,16,26,2500397,96169
Russ Cochran,46,280.3,65.4,63.6,1.791,45.7,194,25,185108,7404
Ryan Palmer,28,295.6,63.2,65.5,1.768,51.3,37,33,1592344,48253
Scott Hend,31,312.6,54.1,62.7,1.806,49,136,29,531263,18319
Scott Hoch,49,280.4,68.8,68.6,1.786,50,60,17,1239360,72904
Scott McCarron,39,294.1,64.9,65.4,1.772,49.7,105,27,790720,29286
Scott Simpson,49,278.7,70.7,62,1.8,51.2,192,18,190986,10610
Scott Verplank,40,278,77.1,68.5,1.743,47.1,20,24,2365594,98566
Sergio Garcia,24,295.1,58.5,70.8,1.79,48.1,9,18,3239216,179956
Shaun Micheel,35,287.5,63.1,67,1.793,47.2,82,27,949919,35182
Shigeki Maruyama,35,280.1,63.7,64.6,1.746,49.4,23,26,2301693,88527
Skip Kendall,40,281.3,68.2,62.7,1.767,48.3,64,29,1206440,41601
Spike McRoy,36,281.5,67.1,64.9,1.81,45.8,159,33,374187,11339
Stephen Ames,40,287.9,65,68.4,1.755,54.5,8,27,3303207,122341
Stephen Leaney,35,282.3,64.8,64.8,1.805,55.3,68,24,1166560,48607
Steve Allan,31,301.2,59.3,66.8,1.795,48.9,121,33,648480,19651
Steve Elkington,42,287.1,68.2,66.1,1.796,49,179,20,243239,12162
Steve Flesch,37,279.9,65.8,65.8,1.763,49,18,31,2461789,79413
Steve Lowery,44,288.8,58.3,63.9,1.769,43.8,66,28,1191245,42544
Steve Pate,43,283.5,64.8,65.1,1.797,48.5,191,24,199569,8315
Steve Stricker,37,281.8,52.7,59.3,1.745,48.8,151,27,440906,16330
Stewart Cink,31,290.5,58.7,66.4,1.723,56.1,5,28,4450272,158938
Stuart Appleby,33,293.2,62.5,65.1,1.764,51.4,13,25,2949234,117969
Tag Ridings,30,301,56.4,64.2,1.751,49.4,125,18,623262,34626
Ted Purdy,31,289.2,70.1,67.4,1.769,46.6,36,35,1636876,46768
Tiger Woods,28,301.9,56.1,66.9,1.724,53.5,4,19,5365472,282393
Tim Clark,28,278.8,72,65.8,1.764,53.3,71,26,1108190,42623
Tim Herron,34,293.8,58,65.1,1.787,47.8,32,26,1727577,66445
Tim Petrovic,38,287.2,63.6,63.4,1.776,49.2,65,32,1193355,37292
Todd Fischer,35,280.1,61.7,63.9,1.769,46.7,94,33,847996,25697
Todd Hamilton,39,283.5,58.7,62.7,1.774,44.6,11,27,3063780,113473
Tom Byrum,44,272.6,74.7,63.7,1.776,52.5,91,25,873140,34926
Tom Carter,36,296.5,55.1,62.9,1.79,42.7,158,35,395782,11308
Tom Lehman,45,287.2,69.7,71.4,1.778,44,53,19,1343278,70699
"Tom Pernice, Jr.",45,286,68.2,66.8,1.778,55.4,47,31,1475273,47589
Tommy Armour III,45,290.5,62.4,64.3,1.807,43.6,95,28,844636,30166
Tommy Tolles,38,287.8,54,61.9,1.776,43.5,201,25,151852,6074
Tripp Isenhour,36,286.2,61.7,62.1,1.795,43.8,218,22,90699,4123
Vaughn Taylor,28,292.5,65.1,68.4,1.761,41.9,67,27,1176435,43572
Vijay Singh,41,300.8,60.4,73,1.757,50.9,1,29,10905167,376040
Woody Austin,40,291.3,63.3,68.1,1.775,46.9,45,29,1495982,51586
Zach Johnson,28,285.6,71.9,67.9,1.751,45.3,19,30,2417685,80590
